Slide,Lesson,Classification,Lesson Flow,Passive Type,x,y,time,,id,year,numbers,neworigintime,,intensity
Mass at 10.5,fp 2:  Radial Velocity,Active,Required,unknown,-0.688,26.461,2013-08-17T11:27:20.56,,118,1250,118,1909-10-01T00:00:00,,0.0117
Size - Pillars of Creation,Intro 3:  Space,Active,Required,unknown,-2.4789,-24.397,2013-08-17T11:21:58.48,,119,1925,119,1909-11-01T00:00:00,,0.0118
Refresher - Runaway GH Kill,L:  Doomsday,Active,Optional,unknown,-13.786,-3.4369,2013-08-17T11:20:14.311,,120,1698,120,1909-12-01T00:00:00,,0.0119
Zircon Build,ne 7:  Age Dating,Active,Required,unknown,11.476,-13.676,2013-08-17T11:18:53.799,,121,1931,121,1910-01-01T00:00:00,,0.012
Discover Elements,R* 6:  Elements,Active,Required,unknown,-6.9448,-23.898,2013-08-17T11:10:02.815,,122,1949,122,1910-02-01T00:00:00,,0.0121
Meth - Points,R* 2:  Brightness,Active,Required,unknown,-8.5557,-24.373,2013-08-17T11:08:51.016,,123,1830,123,1910-03-01T00:00:00,,0.0122
Planets - Past Igneous Rocks,ne 6:  Planetary Evolution,Active,Required,unknown,2.2622,13.212,2013-08-17T11:05:59.934,,124,1860,124,1910-04-01T00:00:00,,0.0123
Orange Coloration,ne 7:  Age Dating,Active,Required,unknown,12.621,-19.643,2013-08-17T10:55:54.574,,125,1961,125,1910-05-01T00:00:00,,0.0124
Discover Supernova,R* 6:  Elements,Active,Required,unknown,-7.7653,-24.392,2013-08-17T10:52:17.824,,126,1911,126,1910-06-01T00:00:00,,0.0125
Earth Density,fp 3:  Planet Composition,Active,Required,unknown,-24.403,10.536,2013-08-17T10:50:49.773,,127,1902,127,1910-07-01T00:00:00,,0.0126
Planets - Sed. Rocks,ne 6:  Planetary Evolution,Active,Required,unknown,6.616,4.952,2013-08-17T10:46:04.979,,128,1887,128,1910-08-01T00:00:00,,0.0127
UV Absorbers,ne 3:  Gasses,Active,Required,unknown,13.553,-6.7934,2013-08-17T10:43:32.349,,129,1922,129,1910-09-01T00:00:00,,0.0128
Calculate Radius,fp 1:  Transits,Active,Required,unknown,-4.6065,5.4586,2013-08-17T10:41:33.257,,130,1968,130,1910-10-01T00:00:00,,0.0129
Pressure Experiment,ne 3:  Gasses,Active,Required,unknown,0.64371,0.85943,2013-08-17T10:39:41.915,,131,1908,131,1910-11-01T00:00:00,,0.013
Combo 4,R* 6:  Elements,Active,Bank Option,unknown,-12.479,-13.287,2013-08-17T10:36:51.71,,132,1859,132,1910-12-01T00:00:00,,0.0131
Combo 4,R* 6:  Elements,Active,Bank Option,unknown,-12.479,-13.287,2013-08-17T10:36:03.602,,133,1913,133,1911-01-01T00:00:00,,0.0132
Tutorial - Graph,R* 2:  Brightness,Active,Required,unknown,-9.0186,-24.875,2013-08-17T10:34:18.407,,134,1760,134,1911-02-01T00:00:00,,0.0133
Cardinal Direction,ne 7:  Age Dating,Active,Required,unknown,18.068,-12.981,2013-08-17T10:33:36.805,,135,1886,135,1911-03-01T00:00:00,,0.0134
Filtered View - 288 K,R* 3:  Color,Active,Required,unknown,2.7454,14.401,2013-08-17T10:30:32.937,,136,1877,136,1911-04-01T00:00:00,,0.0135
Correlate,fp 2:  Radial Velocity,Active,Required,unknown,0.45663,-11.763,2013-08-17T10:28:08.794,,137,2007,137,1911-05-01T00:00:00,,0.0136
Venus Set-up,ne 9:  Habitable Zone,Active,Required,unknown,13.546,20.341,2013-08-17T10:24:20.229,,138,1875,138,1911-06-01T00:00:00,,0.0137
Deaths - Red,R* 5:  Stellar Lifecycles,Active,Required,unknown,-0.012737,-19.046,2013-08-17T10:18:18.453,,139,1866,139,1911-07-01T00:00:00,,0.0138
Distance - Galactic Core,Intro 3:  Space,Active,Required,unknown,-3.0272,-24.11,2013-08-17T10:16:06.793,,140,1861,140,1911-08-01T00:00:00,,0.0139
Lecturette:  Special Water,ne 1:  Water,Active,Required,unknown,-22.554,7.2035,2013-08-17T10:12:31.801,,141,1918,141,1911-09-01T00:00:00,,0.014
Sequence 4,ne 7:  Age Dating,Active,Required,unknown,27.065,-7.4886,2013-08-17T10:07:32.523,,142,1977,142,1911-10-01T00:00:00,,0.0141
False Negative,fl 5:  Biosignatures,Active,Required,unknown,-12.025,9.8269,2013-08-17T10:06:33.111,,143,1904,143,1911-11-01T00:00:00,,0.0142
Tutorial,fp 1:  Transits,Active,Required,unknown,-1.0942,17.296,2013-08-17T10:04:57.228,,144,1919,144,1911-12-01T00:00:00,,0.0143
Evaluation 4,fp 1:  Application,Active,Bank Option,unknown,-8.4838,-3.2845,2013-08-17T10:02:51.66,,145,1894,145,1912-01-01T00:00:00,,0.0144
Stability Range,ne 1:  Water,Active,Required,unknown,-17.25,-20.064,2013-08-17T09:58:54.066,,146,1795,146,1912-02-01T00:00:00,,0.0145
CO2 Freeze-out,ne 9:  Habitable Zone,Active,Required,unknown,-0.79857,26.319,2013-08-17T09:58:09.003,,147,2009,147,1912-03-01T00:00:00,,0.0146
Archean Geochemistry,fl 5:  Biosignatures,Active,Required,unknown,-6.4919,13.592,2013-08-17T09:51:44.282,,148,1984,148,1912-04-01T00:00:00,,0.0147
Life Start/End,Intro 4:  Time,Active,Required,unknown,-8.5721,-24.041,2013-08-17T09:50:38.934,,149,1829,149,1912-05-01T00:00:00,,0.0148
Solar Luminosity,L:  Doomsday,Active,Required,unknown,7.0657,13.125,2013-08-17T09:47:50.519,,150,1952,150,1912-06-01T00:00:00,,0.0149
Planet Hosts,R* 6:  Elements,Active,Required,unknown,13.397,-19.326,2013-08-17T09:45:01.776,,151,1814,151,1912-07-01T00:00:00,,0.015
UVC,fl 4:  Phototrophy,Active,Required,unknown,-9.6745,23.721,2013-08-17T09:43:00.564,,152,1903,152,1912-08-01T00:00:00,,0.0151
Phase Transition,ne 1:  Water,Active,Required,unknown,-20.763,-21.945,2013-08-17T09:39:19.237,,153,1931,153,1900-06-01T00:00:00,,0.0152
Count Features,ne 6:  Planetary Evolution,Active,Required,unknown,13.604,7.2488,2013-08-17T09:35:47.407,,154,1999,154,1900-07-01T00:00:00,,0.0153
Count Features,ne 6:  Planetary Evolution,Active,Required,unknown,13.604,7.2488,2013-08-17T09:33:40.806,,155,1877,155,1900-08-01T00:00:00,,0.0154
Count Features,ne 6:  Planetary Evolution,Active,Required,unknown,13.604,7.2488,2013-08-17T09:31:24.273,,156,1953,156,1900-09-01T00:00:00,,0.0155
Count Features,ne 6:  Planetary Evolution,Active,Required,unknown,13.604,7.2488,2013-08-17T09:26:56.012,,157,1855,157,1900-10-01T00:00:00,,0.0156
Count Features,ne 6:  Planetary Evolution,Active,Required,unknown,13.604,7.2488,2013-08-17T09:25:11.397,,158,1952,158,1900-11-01T00:00:00,,0.0157
Count Features,ne 6:  Planetary Evolution,Active,Required,unknown,13.856,7.9224,2013-08-17T09:21:15.99,,159,1881,159,1900-12-01T00:00:00,,0.0158
Count Features,ne 6:  Planetary Evolution,Active,Required,unknown,13.856,7.9224,2013-08-17T09:20:32.823,,160,1723,160,1901-01-01T00:00:00,,0.0159
Count Features,ne 6:  Planetary Evolution,Active,Required,unknown,13.856,7.9224,2013-08-17T09:18:22.531,,161,1668,161,1901-02-01T00:00:00,,0.016
Count Features,ne 6:  Planetary Evolution,Active,Required,unknown,13.856,7.9224,2013-08-17T09:15:26.431,,162,1805,162,1901-03-01T00:00:00,,0.0161
Count Features,ne 6:  Planetary Evolution,Active,Required,unknown,13.856,7.9224,2013-08-17T09:10:59.637,,163,1826,163,1913-07-01T00:00:00,,0.0162
Count Features,ne 6:  Planetary Evolution,Active,Required,unknown,17.679,-8.5817,2013-08-17T09:09:10.394,,164,1985,164,1913-08-01T00:00:00,,0.0163
Count Features,ne 6:  Planetary Evolution,Active,Required,unknown,17.679,-8.5817,2013-08-17T09:06:32.482,,165,,165,1913-09-01T00:00:00,,0.0164
Count Features,ne 6:  Planetary Evolution,Active,Required,unknown,17.679,-8.5817,2013-08-17T09:04:25.596,,166,1976,166,1913-10-01T00:00:00,,0.0165
Count Features,ne 6:  Planetary Evolution,Active,Required,unknown,17.679,-8.5817,2013-08-17T08:58:39.68,,167,1956,167,1913-11-01T00:00:00,,0.0166
Count Features,ne 6:  Planetary Evolution,Active,Required,unknown,17.679,-8.5817,2013-08-17T08:55:28.01,,168,1902,168,1913-12-01T00:00:00,,0.0167
Count Features,ne 6:  Planetary Evolution,Active,Required,unknown,13.041,8.3514,2013-08-17T08:49:27.296,,169,1843,169,1914-01-01T00:00:00,,0.0168
Count Features,ne 6:  Planetary Evolution,Active,Required,unknown,13.041,8.3514,2013-08-17T08:49:12.852,,170,1974,170,1914-02-01T00:00:00,,0.0169
Count Features,ne 6:  Planetary Evolution,Active,Required,unknown,13.041,8.3514,2013-08-17T08:41:30.026,,171,1860,171,1914-03-01T00:00:00,,0.017
