Slide,Lesson,Classification,Lesson Flow,Passive Type,x,y,time,,id,year,numbers,neworigintime,,intensity
Observations,fp 1:  Transits,Active,Required,unknown,-3.2767,17.817,2013-08-11T16:54:05.305,,1081,1996,1081,1990-01-01T00:00:00,,0.78
Face-On,fp 2:  Radial Velocity,Passive,Required,Text+Video,11.438,25.709,2013-08-11T16:48:54.001,,1082,1965,1082,1990-02-01T00:00:00,,0.79
Survey Results,fl 5:  Biosignatures,Passive,Required,Text+Poll Results,-2.9382,17.049,2013-08-11T16:45:09.331,,1083,2002,1083,1990-03-01T00:00:00,,0.8
Third Law,fl 1:  Defining Life,Passive,Required,Text+Image,-17.772,9.4413,2013-08-11T16:32:51.056,,1084,1976,1084,1990-04-01T00:00:00,,0.81
Describe Outcrop,ne 7:  Age Dating,Active,Required,unknown,9.0402,-21.302,2013-08-11T15:51:56.802,,1085,1914,1085,1990-05-01T00:00:00,,0.82
Explore - GHE/Albedo,ne 10:  Ancient Climates,Active,Required,unknown,-14.899,-13.644,2013-08-11T15:49:57.348,,1086,1886,1086,1990-06-01T00:00:00,,0.83
Location 2,ne 5:  Application,Active,Bank Option,unknown,15.745,11.315,2013-08-11T15:09:27.819,,1087,1985,1087,1990-07-01T00:00:00,,0.84
Location 2,ne 5:  Application,Active,Bank Option,unknown,15.745,11.315,2013-08-11T15:00:11.667,,1088,1902,1088,1990-08-01T00:00:00,,0.85
H-alpha,fp 2:  Radial Velocity,Passive,Required,Text+Image,-1.0573,-15.205,2013-08-11T14:50:24.021,,1089,2002,1089,1990-09-01T00:00:00,,0.86
Classify,ne 2:  Application,Active,Required,unknown,-26.265,-21.79,2013-08-11T14:37:10.336,,1090,1963,1090,1990-10-01T00:00:00,,0.87
Tutorial,ne 2:  Energy Balance,Passive,Required,Text+Sim,-17.772,-9.287,2013-08-11T14:27:10.683,,1091,1939,1091,1990-11-01T00:00:00,,0.88
Instructions,ne 1:  Application,Passive,Required,Text,-16.396,-17.189,2013-08-11T13:56:41.799,,1092,1903,1092,1990-12-01T00:00:00,,0.89
Engagement 2,Intro 1:  Preconceptions,Active,Required,unknown,-13.675,15.074,2013-08-11T13:12:38.428,,1093,1886,1093,1991-01-01T00:00:00,,0.9
Exit,ne 5:  Application,Passive,Required,Text+Image,15.538,10.924,2013-08-11T13:09:39.978,,1094,1751,1094,1991-02-01T00:00:00,,0.91
Instructions,ne 2:  Energy Balance,Passive,Required,Text+Sim,-18.009,-8.8831,2013-08-11T12:56:30.103,,1095,1981,1095,1991-03-01T00:00:00,,0.92
Highest Energy,ne 5:  Climate,Active,Required,unknown,24.888,-3.8692,2013-08-11T12:37:01.077,,1096,1865,1096,1991-04-01T00:00:00,,0.93
Abilities 2,Conclusion,Active,Required,unknown,22.998,-0.59381,2013-08-11T11:54:59.206,,1097,1858,1097,1991-05-01T00:00:00,,0.94
CURE Consent,Intro 1:  Preconceptions,Active,Required,unknown,-22.613,11.207,2013-08-11T11:50:16.329,,1098,1946,1098,1991-06-01T00:00:00,,0.95
Mass-Speed,fp 4:  Atmospheres,Active,Required,unknown,-22.373,0.20346,2013-08-11T11:25:36.09,,1099,1813,1099,1991-07-01T00:00:00,,0.96
Evaluation 2,R* 2:  Application,Active,Bank Option,unknown,-5.0821,-6.7768,2013-08-11T11:22:21.73,,1100,1978,1100,1991-08-01T00:00:00,,0.97
Cells,fl 1:  Defining Life,Passive,Required,Text+Image,-22.384,-2.7009,2013-08-11T11:15:54.65,,1101,1972,1101,1991-09-01T00:00:00,,0.98
Fast Change,fi 2:  Evolution,Passive,Required,Text+Image,1.5254,8.2525,2013-08-11T11:13:34.532,,1102,1986,1102,1991-10-01T00:00:00,,0.05
Fast Change,fi 2:  Evolution,Passive,Required,Text+Image,1.5254,8.2525,2013-08-11T11:07:49.342,,1103,1332,1103,1991-11-01T00:00:00,,0.01
Fast Change,fi 2:  Evolution,Passive,Required,Text+Image,0.69114,6.1273,2013-08-11T11:01:02.92,,1104,1943,1104,1991-12-01T00:00:00,,0.02
Fast Change,fi 2:  Evolution,Passive,Required,Text+Image,0.69114,6.1273,2013-08-11T10:54:53.645,,1105,1872,1105,1992-01-01T00:00:00,,0.03
Complete Loop,ne 8:  Inorganic Carbon Cycle,Passive,Required,Text+Image,3.1375,28.663,2013-08-11T10:34:00.665,,1106,1808,1106,1980-07-01T00:00:00,,0.04
Application,R* 2:  Brightness,Active,Required,unknown,-18.055,-18.568,2013-08-11T10:33:43.538,,1107,1917,1107,1980-08-01T00:00:00,,0.05
AP - Logic 2,ne 2:  Energy Balance,Active,Optional,unknown,-21.55,-5.3592,2013-08-11T10:30:01.117,,1108,1880,1108,1980-09-01T00:00:00,,0.06
Star Composition,R* 6:  Elements,Active,Required,unknown,-5.8376,-21.508,2013-08-11T10:25:47.745,,1109,1951,1109,1980-10-01T00:00:00,,0.07
Distance vs. Retention,fp 4:  Atmospheres,Active,Required,unknown,-23.376,1.9672,2013-08-11T09:45:42.518,,1110,1934,1110,1980-11-01T00:00:00,,0.08
Properties,R* 3:  Color,Active,Required,unknown,7.8123,8.2747,2013-08-11T09:29:21.489,,1111,1901,1111,1980-12-01T00:00:00,,0.09
fp,Conclusion,Active,Required,unknown,21.811,-11.371,2013-08-11T09:17:33.72,,1112,1935,1112,1992-08-01T00:00:00,,0.1
Anyone Else?,Conclusion,Active,Required,unknown,22.77,7.6943,2013-08-11T09:12:37.668,,1113,1916,1113,1992-09-01T00:00:00,,0.11
Summary,R* 6:  Elements,Passive,Required,Text+Video,0.26268,-14.007,2013-08-11T09:08:09.784,,1114,1807,1114,1992-10-01T00:00:00,,0.12
Instructions,fp 2:  Application,Passive,Required,Text,-22.926,-6.777,2013-08-11T08:46:09.991,,1115,1933,1115,1992-11-01T00:00:00,,0.13
Lecturette:  Observing Atmospheres,ne 3:  Gasses,Passive,Required,Video,12.505,25.469,2013-08-11T08:35:19.833,,1116,1983,1116,1992-12-01T00:00:00,,0.14
fc,Conclusion,Active,Required,unknown,23.76,-7.0945,2013-08-11T07:36:33.713,,1117,1986,1117,1993-01-01T00:00:00,,0.15
Survey Results,fp 4:  Atmospheres,Passive,Required,Poll Results,-22.11,-0.5677,2013-08-11T07:20:51.337,,1118,1946,1118,1993-02-01T00:00:00,,0.16
Sources v. Sinks,fl 5:  Biosignatures,Active,Required,unknown,-16.002,-10.371,2013-08-11T07:07:00.083,,1119,2007,1119,1993-03-01T00:00:00,,0.17
Compilation,ne 3:  Gasses,Active,Required,unknown,13.371,24.764,2013-08-11T06:59:16.647,,1120,1920,1120,1993-04-01T00:00:00,,0.18
Oxygen World,fl 5:  Biosignatures,Passive,Required,Text+Image,-16.621,-10.312,2013-08-11T06:48:18.472,,1121,1998,1121,1993-05-01T00:00:00,,0.19
Survey,Intro 5:  The Scientific Process,Active,Required,unknown,4.217,-23.286,2013-08-11T06:31:55.02,,1122,1927,1122,1993-06-01T00:00:00,,0.2
Volume,ne 6:  Planetary Evolution,Active,Required,unknown,2.3183,7.9006,2013-08-11T06:17:54.406,,1123,1977,1123,1993-07-01T00:00:00,,0.21
Get Mass,fp 2:  Radial Velocity,Passive,Required,Text,13.261,9.9211,2013-08-11T05:41:43.567,,1124,1857,1124,1993-08-01T00:00:00,,0.22
All Planets,ne 6:  Planetary Evolution,Passive,Required,Text+Image,5.2083,-5.1686,2013-08-11T05:37:03.252,,1125,1869,1125,1993-09-01T00:00:00,,0.23
Heat Loss,ne 6:  Planetary Evolution,Active,Required,unknown,3.2587,7.3691,2013-08-11T05:18:47.35,,1126,1877,1126,1993-10-01T00:00:00,,0.24
Arrows,ne 3:  Gasses,Passive,Required,Text+Image,13.034,25.05,2013-08-11T05:15:36.559,,1127,1961,1127,1993-11-01T00:00:00,,0.25
Color Coordination,fp 2:  Radial Velocity,Active,Required,unknown,16.849,-9.9921,2013-08-11T05:01:22.151,,1128,1902,1128,1993-12-01T00:00:00,,0.26
RH - Evaluate,Science Literacy,Active,Optional,unknown,-15.717,6.6456,2013-08-11T04:35:59.532,,1129,1890,1129,1994-01-01T00:00:00,,0.27
Classify Basalts,ne 7:  Age Dating,Active,Required,unknown,16.33,-19.587,2013-08-11T03:44:19.342,,1130,1918,1130,1994-02-01T00:00:00,,0.28
Breakthrough Incremental,Conclusion,Active,Required,unknown,21.703,5.7805,2013-08-11T03:31:26.63,,1131,1821,1131,1994-03-01T00:00:00,,0.29
Max Doppler,fp 2:  Radial Velocity,Active,Required,unknown,13.176,24.127,2013-08-11T03:18:34.753,,1132,1981,1132,1994-04-01T00:00:00,,0.3
Bias Accounting,fp 1:  Transits,Passive,Required,Text,-3.526,-0.33004,2013-08-11T02:54:46.515,,1133,2007,1133,1994-05-01T00:00:00,,0.31
Question 4,ne 4:  Application,Active,Bank Option,unknown,18.979,1.9223,2013-08-11T02:42:48.958,,1134,1984,1134,1994-06-01T00:00:00,,0.32
Survey Results,R* 6:  Elements,Passive,Required,Poll Results,-4.6339,-18.956,2013-08-11T02:40:33.884,,1135,1997,1135,1994-07-01T00:00:00,,0.33
Sample Comparison,R* 2:  Brightness,Active,Required,unknown,-24.031,-20.253,2013-08-11T02:12:44.462,,1136,1983,1136,1994-08-01T00:00:00,,0.34
Combo 2,ne 1:  Application,Active,Bank Option,unknown,-16.134,-15.888,2013-08-11T01:34:18.364,,1137,1969,1137,1994-09-01T00:00:00,,0.35
Combo 2,ne 1:  Application,Active,Bank Option,unknown,-16.134,-15.888,2013-08-11T01:17:35.847,,1138,1956,1138,1994-10-01T00:00:00,,0.36
Gas Loss,fp 4:  Atmospheres,Active,Required,unknown,-22.872,0.98406,2013-08-11T00:47:02.207,,1139,2008,1139,1994-11-01T00:00:00,,0.37
Vis Percentages,ne 3:  Gasses,Active,Required,unknown,-6.7613,-4.9649,2013-08-11T00:34:57.255,,1140,1874,1140,1994-12-01T00:00:00,,0.38
Summary,fi 2:  Evolution,Passive,Required,Text,0.13703,5.1016,2013-08-11T00:28:27.469,,1141,1927,1141,1995-01-01T00:00:00,,0.39
Volcanoes,ne 6:  Planetary Evolution,Active,Required,unknown,16.164,-8.8368,2013-08-11T00:14:56.658,,1142,1917,1142,1995-02-01T00:00:00,,0.4
Sun Emission,fl 4:  Phototrophy,Active,Required,unknown,-8.2325,22.486,2013-08-11T00:10:26.196,,1143,1952,1143,1995-03-01T00:00:00,,0.41
Solution,L:  Doomsday,Active,Required,unknown,8.0178,15.29,2013-08-11T00:04:01.04,,1144,1400,1144,1995-04-01T00:00:00,,0.42
Model Planet,fl 4:  Phototrophy,Passive,Required,Text+Sim,-8.3685,22.878,2013-08-10T23:53:11.831,,1145,1991,1145,1995-05-01T00:00:00,,0.43
System 1b,ne 4:  Application,Active,Bank Option,unknown,17.511,1.9117,2013-08-10T23:00:29.533,,1146,2008,1146,1995-06-01T00:00:00,,0.44
Lecturette:  Phototrophy,fl 4:  Phototrophy,Passive,Required,Video,-4.6756,20.842,2013-08-10T22:41:34.01,,1147,1919,1147,1995-07-01T00:00:00,,0.45
Match Model,fp 1:  Transits,Active,Required,unknown,-3.5322,17.986,2013-08-10T22:37:29.407,,1148,1492,1148,1995-08-01T00:00:00,,0.46
Global Cooling,L:  Doomsday,Active,Required,unknown,10.991,25.106,2013-08-10T22:17:29.418,,1149,1995,1149,1995-09-01T00:00:00,,0.47
Originally Horizontal,ne 7:  Age Dating,Passive,Required,Text+Image,10.977,-21.674,2013-08-10T21:54:08.235,,1150,1850,1150,1995-10-01T00:00:00,,0.48
Tree of Life,fl 1:  Defining Life,Active,Required,unknown,-22.657,-1.8042,2013-08-10T21:40:57.201,,1151,1858,1151,1995-11-01T00:00:00,,0.49
Exit,ne 4:  Application,Passive,Required,Text+Image,20.487,1.8119,2013-08-10T21:24:30.532,,1152,1923,1152,1995-12-01T00:00:00,,0.5
Density Differences,ne 5:  Climate,Passive,Required,Text+Image,24.514,-7.3655,2013-08-10T21:21:28.68,,1153,1992,1153,1996-01-01T00:00:00,,0.51
Where's the Water?,ne 9:  Habitable Zone,Active,Required,unknown,12.964,21.812,2013-08-10T21:10:17.811,,1154,1924,1154,1996-02-01T00:00:00,,0.52
AP - Logic 5,ne 2:  Energy Balance,Active,Optional,unknown,-22.105,-5.7863,2013-08-10T20:16:47.115,,1155,1807,1155,1996-03-01T00:00:00,,0.53
Sun Energy,fl 4:  Phototrophy,Passive,Required,Text+Image,-6.312,21.208,2013-08-10T20:03:28.844,,1156,1967,1156,1996-04-01T00:00:00,,0.54
Cherts,ne 7:  Age Dating,Passive,Required,Text+Image,19.462,-9.952,2013-08-10T20:00:59.771,,1157,1890,1157,1996-05-01T00:00:00,,0.55
Doppler to RV,fp 2:  Radial Velocity,Active,Required,unknown,15.532,13.41,2013-08-10T19:49:43.209,,1158,1918,1158,1996-06-01T00:00:00,,0.56
Confirmation Bias - Listen,Intro 2:  Mindscape,Passive,Required,Audio,-4.4736,9.4051,2013-08-10T19:12:12.709,,1159,1879,1159,1996-07-01T00:00:00,,0.57
Confirmation Bias - Listen,Intro 2:  Mindscape,Active,Required,unknown,-4.4736,9.4051,2013-08-10T19:05:28.655,,1160,1884,1160,1996-08-01T00:00:00,,0.58
Confirmation Bias - Listen,Intro 2:  Mindscape,Passive,Required,Audio,-6.0826,10.75,2013-08-10T18:59:24.535,,1161,1937,1161,1996-09-01T00:00:00,,0.59
Confirmation Bias - Listen,Intro 2:  Mindscape,Active,Required,unknown,-6.0826,10.75,2013-08-10T18:34:21.922,,1162,1949,1162,1996-10-01T00:00:00,,0.6
Mismatch,ne 5:  Climate,Passive,Required,Text+Image,20.837,9.1565,2013-08-10T18:24:12.294,,1163,1846,1163,1996-11-01T00:00:00,,0.61
Hydrothermal Vents,fl 2:  Life Ingredients,Passive,Required,Text+Image,-13.058,5.8813,2013-08-10T18:12:18.492,,1164,1918,1164,1996-12-01T00:00:00,,0.62
Instructions,fi 2:  Application,Passive,Required,Text,19.732,8.7124,2013-08-10T17:48:49.849,,1165,1912,1165,1997-01-01T00:00:00,,0.63
Clock Use Intro,ne 7:  Age Dating,Passive,Required,Text+Image,9.7638,-14.259,2013-08-10T17:27:46.014,,1166,1883,1166,1997-02-01T00:00:00,,0.64
Lecturette:  Relations,ne 7:  Age Dating,Passive,Required,Video,24.164,-3.1355,2013-08-10T17:16:53.301,,1167,1875,1167,1997-03-01T00:00:00,,0.65
Evolution,fi 2:  Evolution,Passive,Required,Text+Image,3.1694,10.07,2013-08-10T17:13:11.042,,1168,1860,1168,1997-04-01T00:00:00,,0.66
Calculate Populations,fp 1:  Transits,Active,Required,unknown,-9.6732,16.216,2013-08-10T17:10:36.807,,1169,1981,1169,1997-05-01T00:00:00,,0.67
Sources/Sinks,fl 5:  Biosignatures,Active,Required,unknown,-7.8435,12.147,2013-08-10T16:44:56.327,,1170,1868,1170,1997-06-01T00:00:00,,0.68
Electricity,fc:  Civilization and Energy,Passive,Required,Text+Image,0.44121,0.57128,2013-08-10T16:39:26.738,,1171,1916,1171,1997-07-01T00:00:00,,0.69
Lecturette:  Follow the Water,ne 1:  Water,Passive,Required,Video,-20.264,7.8861,2013-08-10T16:15:41.417,,1172,1986,1172,1997-08-01T00:00:00,,0.7
Other Cells,ne 5:  Climate,Active,Required,unknown,19.5,10.069,2013-08-10T16:04:53.621,,1173,1966,1173,1997-09-01T00:00:00,,0.71
Earth Map,ne 5:  Climate,Passive,Required,Text+Image,21.584,8.6621,2013-08-10T15:50:42.385,,1174,1882,1174,1997-10-01T00:00:00,,0.72
Beyond the Known,Science Literacy,Passive,Required,Text+Image,-4.4176,-0.13551,2013-08-10T15:46:30.081,,1175,1937,1175,1997-11-01T00:00:00,,0.73
Planet 1,ne 6:  Application,Active,Bank Option,unknown,20.317,-18.741,2013-08-10T15:42:50.056,,1176,1960,1176,1997-12-01T00:00:00,,0.74
Climate Layers,ne 5:  Climate,Passive,Required,Text+Image,17.827,11.251,2013-08-10T15:36:34.267,,1177,1879,1177,1998-01-01T00:00:00,,0.75
Erosion and Morphology,ne 7:  Age Dating,Passive,Required,Text+Image,13.981,-19.268,2013-08-10T15:35:02.5,,1178,1990,1178,1998-02-01T00:00:00,,0.76
Introduction,R* 2:  Brightness,Passive,Required,Text+Image,-5.3118,-19.646,2013-08-10T15:28:29.723,,1179,1899,1179,1998-03-01T00:00:00,,0.77
Lecturette:  Phase Diagram,ne 1:  Water,Active,Required,unknown,-17.358,-18.697,2013-08-10T15:26:04.889,,1180,1960,1180,1998-04-01T00:00:00,,0.78
Intro,ne 7:  Age Dating,Passive,Required,Text+Image,17.693,-19.192,2013-08-10T15:19:18.999,,1181,1930,1181,1998-05-01T00:00:00,,0.79
Knossos,fl 5:  Biosignatures,Passive,Required,Text+Image,-24.143,-9.4006,2013-08-10T15:11:20.849,,1182,1866,1182,1998-06-01T00:00:00,,0.8
Dust,fl 2:  Life Ingredients,Passive,Required,Text+Image,-15.065,6.4676,2013-08-10T14:44:59.443,,1183,1887,1183,1998-07-01T00:00:00,,0.81
Dust,fl 2:  Life Ingredients,Passive,Required,Text+Image,-15.065,6.4676,2013-08-10T14:19:11.584,,1184,1890,1184,1998-08-01T00:00:00,,0.82
Dust,fl 2:  Life Ingredients,Passive,Required,Text+Image,-13.742,5.8453,2013-08-10T13:36:52.807,,1185,1998,1185,1998-09-01T00:00:00,,0.83
Dust,fl 2:  Life Ingredients,Passive,Required,Text+Image,-13.742,5.8453,2013-08-10T13:32:15.548,,1186,1948,1186,1998-10-01T00:00:00,,0.84
Selection,fi 2:  Evolution,Passive,Required,Text+Image,8.0387,11.802,2013-08-10T13:15:15.626,,1187,1969,1187,1998-11-01T00:00:00,,0.85
Degenerate Solutions,fp 3:  Planet Composition,Passive,Required,Text+Image,-12.625,19.982,2013-08-10T12:56:57.219,,1188,1976,1188,1998-12-01T00:00:00,,0.86
Combo 3,fp 3:  Application,Active,Bank Option,unknown,-22.241,-1.2,2013-08-10T12:34:47.119,,1189,1947,1189,1999-01-01T00:00:00,,0.87
Combo 3,fp 3:  Application,Active,Bank Option,unknown,-22.241,-1.2,2013-08-10T12:33:53.179,,1190,1967,1190,1999-02-01T00:00:00,,0.88
Combo 3,fp 3:  Application,Active,Bank Option,unknown,-22.18,-3.798,2013-08-10T12:32:08.474,,1191,1917,1191,1999-03-01T00:00:00,,0.89
Combo 3,fp 3:  Application,Active,Bank Option,unknown,-22.18,-3.798,2013-08-10T12:18:48.015,,1192,1817,1192,1999-04-01T00:00:00,,0.9
Loop - H2CO3/CO2,ne 8:  Inorganic Carbon Cycle,Active,Required,unknown,2.9746,28.74,2013-08-10T12:17:31.332,,1193,1814,1193,1980-07-01T00:00:00,,0.91
Star Summary,R* 5:  Stellar Lifecycles,Passive,Required,Text+Image,-1.8745,-16.588,2013-08-10T12:00:12.513,,1194,1897,1194,1980-08-01T00:00:00,,0.92
Finding Life,fl 3:  Redox Chemistry,Passive,Required,Text+Image,-3.4281,22.484,2013-08-10T11:52:53.554,,1195,1935,1195,1980-09-01T00:00:00,,0.93
Finding Life,fl 3:  Redox Chemistry,Passive,Required,Text,-3.4281,22.484,2013-08-10T11:24:14.06,,1196,1927,1196,1980-10-01T00:00:00,,0.94
Finding Life,fl 3:  Redox Chemistry,Passive,Required,Text+Image,-0.55517,19.699,2013-08-10T11:05:49.316,,1197,1112,1197,1980-11-01T00:00:00,,0.95
Finding Life,fl 3:  Redox Chemistry,Passive,Required,Text,-0.55517,19.699,2013-08-10T10:59:58.18,,1198,892,1198,1980-12-01T00:00:00,,0.96
fl,Intro 6:  Drake Conjecture,Active,Required,unknown,15.171,16.731,2013-08-10T10:24:35.505,,1199,1340,1199,1999-11-01T00:00:00,,0.97
MS-Yellow 2,R* 4:  H-R Diagram,Active,Bank Option,unknown,-1.5616,-9.3163,2013-08-10T09:59:37.069,,1200,1769,1200,1999-12-01T00:00:00,,0.98
Spectrum - Pure,R* 6:  Elements,Active,Required,unknown,-15.433,-15.963,2013-08-10T09:30:32.205,,1201,,1201,2000-01-01T00:00:00,,1
Communication,fc:  Civilization and Energy,Passive,Required,Text+Image,5.2045,-6.0082,2013-08-10T09:16:12.036,,1202,1901,1202,2000-02-01T00:00:00,,0.999
Combo 7,fp 3:  Application,Active,Bank Option,unknown,-22.252,-2.1089,2013-08-10T09:13:56.927,,1203,1822,1203,2000-03-01T00:00:00,,0.998
False Positive,fl 5:  Biosignatures,Active,Required,unknown,-8.9234,11.848,2013-08-10T09:09:04.127,,1204,1936,1204,2000-04-01T00:00:00,,0.997
RH - MB - Colors,ne 7:  Age Dating,Passive,Optional,Text+Image,15.108,-17.785,2013-08-10T09:02:06.552,,1205,1528,1205,2000-05-01T00:00:00,,0.996
Hab Zone Summary,ne 9:  Habitable Zone,Passive,Required,Text+Image,-2.6868,24.709,2013-08-10T08:57:47.969,,1206,952,1206,2000-06-01T00:00:00,,0.995
Yummy Plant Colors,fl 4:  Phototrophy,Passive,Required,Text+Image,-7.7223,24.282,2013-08-10T08:04:26.231,,1207,1850,1207,2000-07-01T00:00:00,,0.994
Venus,ne 9:  Habitable Zone,Passive,Required,Text+Image,12.944,20.972,2013-08-10T07:27:56.592,,1208,1704,1208,2000-08-01T00:00:00,,0.993
Order of Operations,Science Literacy,Active,Required,unknown,-5.0973,-0.19225,2013-08-10T06:58:46.137,,1209,,1209,2000-09-01T00:00:00,,0.992
Earth Lifetime,Intro 4:  Time,Active,Required,unknown,-6.8437,-21.739,2013-08-10T06:52:59.281,,1210,1780,1210,2000-10-01T00:00:00,,0.991
First Law,fl 1:  Defining Life,Passive,Required,Text+Image,-18.332,11.395,2013-08-10T06:43:15.097,,1211,1937,1211,2000-11-01T00:00:00,,0.99
Inclination Angles,fp 1:  Transits,Passive,Required,Text+Image,-0.24316,12.134,2013-08-10T06:07:42.225,,1212,1915,1212,2000-12-01T00:00:00,,0.989
Redbacks,fl 5:  Biosignatures,Passive,Required,Text+Image,-20.337,8.5596,2013-08-10T06:05:39.486,,1213,1520,1213,2001-01-01T00:00:00,,0.988
Preferred Alignment,fp 1:  Transits,Active,Required,unknown,-9.7251,15.904,2013-08-10T04:49:01.677,,1214,1842,1214,2001-02-01T00:00:00,,0.987
Hypotheses,ne 2:  Energy Balance,Passive,Required,Text+Image,-16.729,-13.166,2013-08-10T04:47:18.239,,1215,1822,1215,2001-03-01T00:00:00,,0.986
Energy Flow,fl 1:  Defining Life,Passive,Required,Text+Image,-18.524,11.838,2013-08-10T04:38:27.482,,1216,1738,1216,2001-04-01T00:00:00,,0.985
Interior Heat Powered,ne 6:  Planetary Evolution,Passive,Required,Text+Image,4.9077,6.9999,2013-08-10T04:35:07.593,,1217,1791,1217,2001-05-01T00:00:00,,0.984
Cool Flux,R* 4:  H-R Diagram,Active,Required,unknown,-2.1004,-8.9155,2013-08-10T04:31:17.126,,1218,1634,1218,1980-07-01T00:00:00,,0.983
Comparison,Intro 5:  The Scientific Process,Passive,Required,Text+Video,16.85,-19.742,2013-08-10T04:24:48.028,,1219,1966,1219,1980-08-01T00:00:00,,0.982
Brains,fi 2:  Evolution,Passive,Required,Text+Image,1.0979,6.6905,2013-08-10T04:23:35.948,,1220,1855,1220,1980-09-01T00:00:00,,0.981
All Fluxes,R* 4:  H-R Diagram,Passive,Required,Text+Image,-1.2668,-9.97,2013-08-10T04:16:14.827,,1221,1805,1221,1980-10-01T00:00:00,,0.98
Which One?,ne 7:  Age Dating,Passive,Required,Text+Image,9.3645,-21.546,2013-08-10T04:06:57.271,,1222,1676,1222,1980-11-01T00:00:00,,0.979
Exit,fl 4:  Application,Passive,Required,Text+Image,-3.2013,18.376,2013-08-10T03:32:17.391,,1223,1511,1223,1980-12-01T00:00:00,,0.978
Interpret,ne 7:  Age Dating,Active,Required,unknown,16.286,-19.063,2013-08-10T03:22:47.699,,1224,1596,1224,2001-12-01T00:00:00,,0.977
Evolution,fc:  Civilization and Energy,Passive,Required,Text+Image,0.053871,4.0813,2013-08-10T03:07:52.372,,1225,,1225,2002-01-01T00:00:00,,0.976
Type,fl 2:  Life Ingredients,Active,Required,unknown,-13.984,5.9967,2013-08-10T03:06:28.031,,1226,1650,1226,2002-02-01T00:00:00,,0.975
Plants/Animals,Intro 4:  Time,Active,Required,unknown,-9.7511,-21.789,2013-08-10T02:40:00.943,,1227,1808,1227,2002-03-01T00:00:00,,0.974
About Conclusions,fp 1:  Transits,Passive,Required,Text,-5.4752,-1.7119,2013-08-10T02:35:59.8,,1228,1704,1228,2002-04-01T00:00:00,,0.973
Exponentials - Negative,Science Literacy,Active,Required,unknown,-6.7821,0.55557,2013-08-10T01:46:21.596,,1229,1976,1229,2002-05-01T00:00:00,,0.972
Chemotrophy,fl 4:  Phototrophy,Passive,Required,Text+Image,-5.0363,20.442,2013-08-10T01:42:47.897,,1230,1803,1230,2002-06-01T00:00:00,,0.971
Refresher - Compare,L:  Doomsday,Active,Optional,unknown,6.3798,26.239,2013-08-10T00:52:54.133,,1231,,1231,2002-07-01T00:00:00,,0.97
Atm -> Rain,ne 8:  Inorganic Carbon Cycle,Active,Required,unknown,-17.824,-6.6884,2013-08-10T00:45:53.03,,1232,1677,1232,2002-08-01T00:00:00,,0.969
Chlorophyll A,fl 4:  Phototrophy,Active,Required,unknown,-7.98,24.347,2013-08-10T00:32:15.903,,1233,1776,1233,2002-09-01T00:00:00,,0.968
Lecturette:  Energy Balance,ne 2:  Energy Balance,Passive,Required,Video,-20.769,-6.1817,2013-08-10T00:21:54.989,,1234,1654,1234,2002-10-01T00:00:00,,0.967
Mathematics,R* 1:  Distance to Stars,Passive,Required,Text+Image,3.5257,-18.604,2013-08-10T00:21:07.707,,1235,1944,1235,2002-11-01T00:00:00,,0.966
Top-Down,ne 7:  Age Dating,Passive,Required,Text+Image,16.08,-20.347,2013-08-10T00:00:38.041,,1236,1927,1236,2002-12-01T00:00:00,,0.965
Imbalance - Heat Up,ne 2:  Energy Balance,Active,Required,unknown,-23.194,-8.4322,2013-08-09T23:49:43.44,,1237,1932,1237,2003-01-01T00:00:00,,0.964
Explanation,fp 2:  Radial Velocity,Passive,Required,Text,14.924,11.683,2013-08-09T23:25:08.758,,1238,1960,1238,2003-02-01T00:00:00,,0.963
NH3,ne 3:  Gasses,Active,Bank Option,unknown,8.0915,27.325,2013-08-09T22:52:14.895,,1239,2000,1239,2003-03-01T00:00:00,,0.962
Model,Intro 5:  The Scientific Process,Passive,Required,Text+Image,21.218,-12.946,2013-08-09T22:36:30.715,,1240,1959,1240,2003-04-01T00:00:00,,0.961
Earth Composition,fp 3:  Planet Composition,Active,Required,unknown,-23.555,10.744,2013-08-09T22:06:37.955,,1241,1674,1241,2003-05-01T00:00:00,,0.96
Biosignatures,fl 1:  Defining Life,Passive,Required,Text+Image,-17.13,8.2688,2013-08-09T22:01:02.351,,1242,1885,1242,2003-06-01T00:00:00,,0.959
Habitable Worlds,R* 6:  Elements,Passive,Required,Text+Image,-14.657,-12.262,2013-08-09T21:55:52.806,,1243,1983,1243,2003-07-01T00:00:00,,0.958
Real Stars,R* 4:  H-R Diagram,Passive,Required,Text+Poll Results,0.075157,-11.901,2013-08-09T21:46:33.079,,1244,1898,1244,2003-08-01T00:00:00,,0.957
Planet Energy,fl 4:  Phototrophy,Passive,Required,Text+Image,-7.4808,21.786,2013-08-09T21:42:39.178,,1245,1936,1245,2003-09-01T00:00:00,,0.956
Get Redshift,fp 2:  Radial Velocity,Active,Required,unknown,13.895,16.385,2013-08-09T21:33:57.087,,1246,1949,1246,2003-10-01T00:00:00,,0.955
Morphology,ne 7:  Age Dating,Active,Required,unknown,14.1,-18.935,2013-08-09T21:31:32.931,,1247,1861,1247,2003-11-01T00:00:00,,0.954
